title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,A biography focusing on what motivated the war leader and how he learned from his mistakes.,True,6.0,1101980990,https://storage.googleapis.com/du-prd/books/images/9781101980996.jpg,2019-02-05
WOMEN ROWING NORTH,Mary Pipher,Bloomsbury,"Reflections on the ageism, misogyny and loss that women might encounter as they grow older.",True,2.0,1632869608,https://storage.googleapis.com/du-prd/books/images/9781632869609.jpg,2019-02-05
INHERITANCE,Dani Shapiro,Knopf,Secrets and identity in a fast-paced age of science and technology are explored through the story of a woman who discovered her biological father.,True,2.0,1524732710,https://storage.googleapis.com/du-prd/books/images/9781524732714.jpg,2019-02-05
FACTFULNESS,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,Flatiron,A look at our biases and the argument for why the world is in a better state than we might think.,True,14.0,1250107814,https://storage.googleapis.com/du-prd/books/images/9781250123817.jpg,2019-02-05
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,12.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-02-12
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,50.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-02-12
TEAM OF VIPERS,Cliff Sims,Thomas Dunne/St. Martin’s,The former special assistant to President Trump recalls what he considers his successes and failures in the White House.,True,,125022389X,https://storage.googleapis.com/du-prd/books/images/9781250223890.jpg,2019-02-12
FROM THE GROUND UP,Howard Schultz with Joanne Gordon,Random House,The former chief executive of Starbucks recounts his journey to success and shares the inspirational stories of others.,True,,0525509445,https://storage.googleapis.com/du-prd/books/images/9780525509448.jpg,2019-02-12
LET ME FINISH,Chris Christie with Ellis Henican,Hachette,The former governor of New Jersey describes his relationship with President Trump and the tensions among others close to the president.,True,,0316421790,https://storage.googleapis.com/du-prd/books/images/9780316421799.jpg,2019-02-12
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,26.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-02-12
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,The story of a secret plot to kill George Washington in 1776.,True,4.0,1250130336,https://storage.googleapis.com/du-prd/books/images/9781250130334.jpg,2019-02-12
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,58.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-02-12
WOMEN ROWING NORTH,Mary Pipher,Bloomsbury,"Reflections on the ageism, misogyny and loss that women might encounter as they grow older.",True,3.0,1632869608,https://storage.googleapis.com/du-prd/books/images/9781632869609.jpg,2019-02-12
THE TRUTHS WE HOLD,Kamala Harris,Penguin Press,"A memoir by a daughter of immigrants who was raised in Oakland, Calif., and became the second black woman ever elected to the United States Senate.",True,4.0,0525560718,https://storage.googleapis.com/du-prd/books/images/9780525560715.jpg,2019-02-12
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,11.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2019-02-12
SHAMELESS,Nadia Bolz-Weber,Convergent,A modern-day pastor calls for a reformation of Christian messaging about sex.,True,,1601427581,https://storage.googleapis.com/du-prd/books/images/9781601427588.jpg,2019-02-12
A SERIAL KILLER'S DAUGHTER,Kerri Rawson,Thomas Nelson,A woman rebuilds her life after she learns her father is the infamous killer known as BTK.,True,,1400201764,https://storage.googleapis.com/du-prd/books/images/9781400201761.jpg,2019-02-12
FASCISM: A Warning,Madeleine Albright with Bill Woodward,Harper,The former secretary of state examines the legacy of fascism in the 20th century and its potential revival.,True,6.0,0062802186,https://storage.googleapis.com/du-prd/books/images/9780062802187.jpg,2019-02-12
MAID,Stephanie Land,Hachette,An unexpected pregnancy forces the author to navigate challenges faced by the working poor.,True,2.0,0316505110,https://storage.googleapis.com/du-prd/books/images/9780316505116.jpg,2019-02-12
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,13.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-02-19
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,51.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-02-19
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,27.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-02-19
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,59.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-02-19
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,The story of a secret plot to kill George Washington in 1776.,True,5.0,1250130336,https://storage.googleapis.com/du-prd/books/images/9781250130334.jpg,2019-02-19
THE UNWINDING OF THE MIRACLE,Julie Yip-Williams,Random House,"After receiving a terminal cancer diagnosis, a lawyer and mother of two chronicles her life.",True,,0525511350,https://storage.googleapis.com/du-prd/books/images/9780525511359.jpg,2019-02-19
WOMEN ROWING NORTH,Mary Pipher,Bloomsbury,"Reflections on the ageism, misogyny and loss that women might encounter as they grow older.",True,4.0,1632869608,https://storage.googleapis.com/du-prd/books/images/9781632869609.jpg,2019-02-19
FIGURING,Maria Popova,Pantheon,The achievements and private relationships of several interconnecting historical figures.,True,,1524748137,https://storage.googleapis.com/du-prd/books/images/9781524748135.jpg,2019-02-19
FROM THE GROUND UP,Howard Schultz with Joanne Gordon,Random House,The former chief executive of Starbucks recounts his journey to success and shares the inspirational stories of others.,True,2.0,0525509445,https://storage.googleapis.com/du-prd/books/images/9780525509448.jpg,2019-02-19
A SERIAL KILLER'S DAUGHTER,Kerri Rawson,Thomas Nelson,A woman rebuilds her life after she learns her father is the infamous killer known as BTK.,True,2.0,1400201764,https://storage.googleapis.com/du-prd/books/images/9781400201761.jpg,2019-02-19
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,12.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2019-02-19
INHERITANCE,Dani Shapiro,Knopf,Secrets and identity in a fast-paced age of science and technology are explored through the story of a woman who discovered her biological father.,True,3.0,1524732710,https://storage.googleapis.com/du-prd/books/images/9781524732714.jpg,2019-02-19
LET ME FINISH,Chris Christie with Ellis Henican,Hachette,The former governor of New Jersey describes his relationship with President Trump and the tensions among others close to the president.,True,2.0,0316421790,https://storage.googleapis.com/du-prd/books/images/9780316421799.jpg,2019-02-19
ZUCKED,Roger McNamee,Penguin Press,A Silicon Valley investor and mentor to Mark Zuckerberg describes some of the negative effects of the attention economy on our democracy and the greater culture.,True,,0525561358,https://storage.googleapis.com/du-prd/books/images/9780525561354.jpg,2019-02-19
MAID,Stephanie Land,Hachette,An unexpected pregnancy forces the author to navigate challenges faced by the working poor.,True,3.0,0316505110,https://storage.googleapis.com/du-prd/books/images/9780316505116.jpg,2019-02-19
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,14.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-02-26
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,52.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-02-26
